gatewayAddress,delegateAddress,delegateStake
Et5gKOcBG4W-kgDv5iPR-FuxXr9eikb8mKP0G3eKmLs,01mmQ4vr8N2SOoYit9KaGR7UBmd1GK4jZJNH-wMZ3X0,4780000000
1GLELagOHDK_Yq9SvlIAAYjTc31pTuoH22xVsCdnS7Q,02j7xiwPzkbuvwlF99do0T-puGM4hCVCXrSKc2uKesw,2390000000
6WUKQgsE6Rz7PIZPsr269uSI0KP7UF24LxlkWTcGqGM,08GJZ-EHKGzYlQGqOEmuAveoE_vdwmjUxE2J3rnf0Xg,435000000
KhX4ymYGPdOgq_5SbDBIHcPj7EI3JMW4xxp60y45zuY,08RIg_codciSOqJxg3qG6TZsUWTn7Uzr93R2DOQG4o4,1303750000
RudEuYOzv5GMhaH2orJUWmvN2x4hw5hG53RCwokdDv0,0CaDGMteAmuxXvehXK-GaSi_SxE_p8XYU38pp9xg5dw,3258750000
jDdK_PVoWDlBGufV-6gIsZnrnGmOOsR-8AIHulRsohw,0CwDLkW_Gq8pmp_Q180upX8oEfHtzA29M1hf10VSxOE,435000000
TYHjq5FHwQnRqbZkLTb7mDemLIb-x3FP-rOv-0YXNwQ,0H-RsmMAxUhELPdbwHGh7wzt0ZmFB818VnIRXQAv96Y,1303750000
Eq3gnfpqBqOSoUUGEqfEIJfSFOPeKqw2HWUzoiZXnA8,0HA-HBdBHUjzcLd5xMFVsJpTUlL0tIuwdxYZT5x4rJs,2825000000
vt8-HvjzX-XHuZFgR1tFFDE1cYGZnh0U4qM0aTFjBHE,0IJV6mQpTI0UULeclLC2_qRQQeE-cxqnbl4c3_uGoVc,1716250000
JkUcb04WybVhwXV9hLCCjS9fpFWmODGXYIdhn6O-kRU,0KmQOP_PmZtWx60wNvzV4Yk7mscf43S74sdJ3dhZPV8,435000000
SzKVrTQxkKnjR7vElct7Wn7FyVk1X8KBHRrdtiW7sLs,0MgjK0SRbfTY80Eq_vbe4wgjFdDtWl3JSiBaZWLTlV8,11406250000
IRHn9m9vQF8fGEQ3H8nmDhkQgnLY1b-jXIda4wDW1TU,0NaIHKaUM1d-z1XTQrsciYWvfCT9cHt-AVekXCta8a0,652500000
vBDC_yCsXY9KrM4nFy_ngR2aN75F85650lJZnWH5tEU,0NuXvG488wru5Q7Fw06eg6F8CTkK293NnDOt6SOrrPg,870000000
TEHjbg0NBCTOx49dbFOyL7v-ljT3LykMtsG4lGEfERs,0OYP-y1lLxZbAJq8by878U9wZhLttxQhGhMt2yqqSes,1716250000
KlJUM2TsHgUI1Ih-OsorF-UpxND21amAEltukFvotTo,0R6aTzxfYNS-9K6s8F0aWZI7COyD2Gwbot6TYDtVYPY,652500000
xmZL_bYpc0xK8gubrPxg_5Xc9WcJXJjYXooZSO6Z7dI,0WTTYyQhN5p-EwsX85aNpw-T2QN96xrCIzX-5l7T7P8,1525000000
b8FjTeLN55rWw9M-Vt6fpUhD1OMsXbdD8g2ta2L9Woo,0XY-oIcKSlcZTUa9_tZnoc6wOfu5aE_VtaVHvuv0-mY,1086250000
Gy6ayY8lfSjUT_MGOk9QAiGq0oOAHs0FAMjQgYQBk-8,0YURIZ8fXGzzx0VMYa7L3waV_YQs6JgQ5GKwiRUyRZM,2651250000
j127k2eHqmnki8NhKFT4wl8EPhwHETfmVpfV-yITI_8,0ag5s0RwMEgO2O7Zm0h4Gn3pmK3jqX8F9w7A7Aj7Pbo,2607500000
eNSUT_JT0yQgrC6TP4k2IlkO-krjIKzAUgxVPZ58fFI,0cQJ5Hd4oCaL57CWP-Pqe5_e0D4_ZDWuxKBgR9ke1SI,8321250000
3WEXCEfP2jhqUTzo0dgAV1210DB4EQ8U_NNyEZ95IEU,0c_hm5tbdCj6JE1s_wZYYzsbCbb2o6fPmpWkZUe_2Bo,870000000
lqYA3FQq8H6t5xXc6A4bOGxEW6H2lr0EXnR49tDpeuU,0dgkzvTwE1163jvVsMRdp3cuV9vzPh0_CgyGuOeydtw,1738750000
iap-k1HQNUtkDLDooVsjQVg0FAWtudGtVsTSFQ3nn1o,0el1B_PMyobo0wqeJ91VpZRFx0heyWQssBkt1WwZRl4,2172500000
sIEvixt3EG_oFIK7BIz4v73WCmWjmfuT_YEhfHtBcnQ,0fguAr9qx_wXOvBmalr5Bv6jdpw5_fxSANoxiURYIgU,5431250000
INdAaOnxtaAPOPKzn5A8-x-rtaoWvkBjMHMEdjRUj6s,0g65TFYkTXDWMMGNdrnO6tmzFiyG4aImKC4suiWgVmQ,1303750000
UGm_n-H39zJDxTNnwSfTMCsufjI0nhDAHFEX_JRng74,0ggPdWanBgyAFRw4enTBRo5ryk811l2pBc3Enuzkpuk,1086250000
UGm_n-H39zJDxTNnwSfTMCsufjI0nhDAHFEX_JRng74,0joyrbrc_QG4eHk1u6eFSEDeNLFb6PAT9xj3ehfElQk,435000000
zpwUxIJgsB1Rko-UYINmI0mGx1R24aUuZ7cXhJbON6A,0k6At52zuPPbb3K142PptcxroSzYlrrxXlrL--sEkrI,1521250000
9In6CYcWT4BuBK4nOP4vDqfwq48a1j3UDoH_ArBUogo,0lPvYypVo1gVzmFTqnh3HVZDcNGRsB_--C9OAeKZYu4,7235000000
eK90HD3rvvYNzA2sgW_MbYCEvYtUGRAmU6Wpb0qaQw0,0lpjaTisyU2IY46pAxF7TLrJjr7ABZ9gaxldVCl67cU,1303750000
TJbHG2vQJV2gif_feeMZJuB9GiZjkHzjzI5G0STm6eM,0phxy0U5AKXKzs2pwNebXnekQz2uI-mPK0yJ5FugJ9E,9776250000
in_z1k6wRUY7huEBXx6cn2i2F8eAiTI1fH8JxTlXEMM,0pqoXVX9_ALMRDm4CBqrWyuKUIgPgaACHgzhn6UNR-M,652500000
l5wmMZJv6cXuJxlvjf6RkErudcWQfosBc7b5Gx7gCsU,0q2hdWMdhFWkIZ5ZwSoRkcFT2RnQ9MTGyqVnRlHiQ_A,435000000
-14ZDlxWLcg2X34LMJZ-yFlaQF8ZVqsFf27Ajcd7mXQ,0qelMsFB5JWu1J1zvVYG-d-IDWXLHP-5KDntlv8zBEY,870000000
YpujpAhHCPkyw9L1yxAYoJD-SQgqLfuZtLZfFWihmEo,0rXN_48CVytyYNhO5B50UWt-wRBo7UJ0aT54l4KjJI0,435000000
l5wmMZJv6cXuJxlvjf6RkErudcWQfosBc7b5Gx7gCsU,0s7ZevTwk4vILZCs-ClQlsb1nchVisF_I9UfGNnuPX4,652500000
yRUte56wdPGHafW36HVYLsbhpggbGECPA60iZp-lsrk,0td0ae46B-GOfhwKDAExGX4RCi2YX4NVfYQjLXBUuEg,2390000000
zmd1qJpwEpXH-fVUZj-_rl1SWUg3S7_m6Yyq6Ch0dxw,0vwZudBfB--VRfXo4qC_9ejmb2Kf-frBJGBjCFyx4_I,435000000
H3RizJHuKNGu4oXIFjIM3Tzyjd32-_C10ZzNj_2TV5Y,0x02f40b84CdDe657245049476E1E01DDffde6a21c,435000000
PknxsIAYcyz0bgHOpH8W_IjDFBUYBLjvXezEDN_mze0,0x3489d4eC0504970aEfBc446689145e79e74E7b9b,1738750000
MDGK9R_iCloN7l0Mqj2HI0eLvzlB2RBqDu6PB9T0QQk,0x788054EB457f57E8cd796Da666bf5B4235Be840A,652500000
LlLe340OW5DHR1Nrs1i-9-md09R0pvXbcQSK-GcGxZ4,0xC8F729B4AFCbf8Cb1f2F969511c684925Bc1034B,435000000
QGLLO6zhAHMzZ3j8WnZFJA6DA1S9nICQ1oEd9HmWRqM,0ybryz-ScLU4MQhF5kr_FW25O_ZAcOHhFCE08USf9es,2281250000
_WoBXS3nKO2_dY5ERvM9hr8AONoo3yZAQgrpRMBCeRg,1-NtLpFIAWlBtzpgA1LdO50lrZgacG3vVAxM_6Zekxc,652500000
HkRKUlJM85uaOurxShYU5TD3fCsTO0-0mhh_rcgc1Xw,10efWZ1qQLPv0_y-gg0ldeGy68eH_wTQhN6bG3vzc7c,1303750000
XxFP2vIIBlPvBe27tVTebgAtd-r09t5_BMtg_afsmMY,10fhiZ1WtTQ8ubPXqHRSDbsBS-BgEH8Qx1yyR1VNT9Q,150000000000
9In6CYcWT4BuBK4nOP4vDqfwq48a1j3UDoH_ArBUogo,14OztRg1Lg73yZvvrCyf7rzfTlvlGnv67XYb0-P6Llc,1086250000
pMFXTIJKpybk2yej-iD57ycy3BfAiZgJ9D2CZaFDFrU,16BFrLT0uMUq-RWhzcn-uWd2vA4F5qxlYh_fahh1GBM,652500000
eNSUT_JT0yQgrC6TP4k2IlkO-krjIKzAUgxVPZ58fFI,17D8iiRNAntWmzR2q0VS8JlBzUfzD1buxkKHwPNpqTs,1500000000
0pCbuNgUCx1WNiBwXOq0DP6CFVOkhZ5qd1DgxAX0KvY,18e5Zt-JaV5eE24alZnMI4ka9PWaNu0iZvnk7Sx1FSw,1956250000
XR8cKlu6QsVbEMphx75anqUa72PJ6KIl_HJfF3iuoSo,191b7usGVhRCLrS1bLposPs2clq13XiMfIrKXWV-C-8,1086250000
_OSahxSTffKInVAhPFi1LcLpU41TniKmIdFDZ2ZmI-g,19v0v3G7OGODr4sl8Wd4AuW7_LYHPNm6WqwIrxo-LRI,870000000
vBDC_yCsXY9KrM4nFy_ngR2aN75F85650lJZnWH5tEU,1AcBTSDviZjIh6gMV26FxuvwKXZRt9jFidm9TTNJcTw,738750000
JkUcb04WybVhwXV9hLCCjS9fpFWmODGXYIdhn6O-kRU,1BLKMBr4zljxop_YB02FNfRw0UrtLGx_gY6EapQhAj8,435000000
8kmjGxbITBZLAAoUmkmFWE3GiU1-qZTMA53ffCw_D-w,1BMzNcnblNUJGXMU3uhdlQZ0ymdxc6OOuQ3kZyFyfok,543750000
ivmQI0ccIeVEQ7mXsgW2-3NCMxq9Wu_CxBcc96m0-qA,1BUFCfUPHKNgCdWFYXN0HxKWXGlSBO0APKuRdVP3gp0,1217500000
Et5gKOcBG4W-kgDv5iPR-FuxXr9eikb8mKP0G3eKmLs,1Cp9R-wlsaV4QLtE58YrKA16TCkqbDXOlk8OWVT9S5g,435000000
5sqfubD1WdH2zrUcdf60uhXTofOjiJBBo3-wvV0z7P8,1Ddun6n6igF6J5CqQ589zMiTdycAFiZGoBL-Pl3xUaA,652500000
dF3CbiIz03iYEU2ldxnZDPClnmY69aF1DZC816TWfOk,1DkiG-bX-EnXBHtIYnBPLHXLLUQtTZiw9qgMgRrnahA,21320000000
osZP4D9cqeDvbVFBaEfjIxwc1QLIvRxUBRAxDIX9je8,1EX_QWs0LWH86FtslsspZX7RLWZpzk_xHjJwJSHTiCI,1738750000
fDMKOqpDZc4StKps1rt0nyaLvAp1vDL4qOrfpklElwg,1FyonaX7Qpkyrx8Jp_-YqWbKZI5kLW-vcpHNls1ZM1Q,435000000
kCflZhsNDofALNadbPsknhVyl424OF0quSZxrBY9Muo,1G8qI1OZRnJOJg1GsOoKqtE2mKh7dpSDL8WCBqriltk,3911250000
o5V1bdIoJsoMnzB7HZ15yJPwgW05ytGyCjpkDxNhCAE,1GRKSKvsHj-9XPzb-CejeCIAQ511Xz97QgX598sB9FY,15858750000
tXxfIOujBt1Z6KQUE0gfjPYVOfj8wOaRPN6mWN8Sq08,1GvFHfBzK70EJXdr6_DAqPWBkEXUAQPVNWWlicczypg,435000000
XR8cKlu6QsVbEMphx75anqUa72PJ6KIl_HJfF3iuoSo,1JXtBsZ8wP-4lIGpyALpUTxBAO3L1sZor-_k2iJGpZg,6496250000
-14ZDlxWLcg2X34LMJZ-yFlaQF8ZVqsFf27Ajcd7mXQ,1Larrp09w5Ud7hLr6OmkhxhJIn56wZwABhd2g4znFvE,2390000000
7DYE7_AtHBW9T98vUuZVkL6mW_ZX8t_GiIGR88Vi25I,1O4D8j3sFE27wIY13XZmJIQlkMSE2NakLzb9fJ53W6s,435000000
tJWsUi-XhrHQzJCgJgpJolBRjfA1Jbi3uOLtU_XUTaE,1QbNq9PiJSfJy7m9ReDR8JEIAmVLK_mIk65BI1PsIHk,2672500000
