delegateAddress,gatewayAddress,delegateStake
01mmQ4vr8N2SOoYit9KaGR7UBmd1GK4jZJNH-wMZ3X0,1LUv6R9jUc7_eqhyOAnPjevurdO5tRqAAUGTdd57yrw,4780000000
02j7xiwPzkbuvwlF99do0T-puGM4hCVCXrSKc2uKesw,qhjZBMNa8EDTb8WaZwJ9vwVgiFbX9VmVmd7S7x80-BI,2390000000
08GJZ-EHKGzYlQGqOEmuAveoE_vdwmjUxE2J3rnf0Xg,fD5A1ki_bDGt-FjVvOPHPZ1ylDAQo4zCp9LIOD9VCWk,435000000
08RIg_codciSOqJxg3qG6TZsUWTn7Uzr93R2DOQG4o4,JckL0gGb5prOKo7jOwBPAk7YJHC2plZeEGdVi-YsblU,1303750000
0CaDGMteAmuxXvehXK-GaSi_SxE_p8XYU38pp9xg5dw,E_hgifj1VUdbYb81YwlMBluQjYV_vJZGvGvdPQG64z4,3258750000
0CwDLkW_Gq8pmp_Q180upX8oEfHtzA29M1hf10VSxOE,ty5YtynhdixPERscueTiOl1KA4Y69HNrAaJ2H_2sBh8,435000000
0H-RsmMAxUhELPdbwHGh7wzt0ZmFB818VnIRXQAv96Y,SPBqEhHPEitm3lcLwepcXRHEbRCW82G3juwR99rK5I8,1303750000
0HA-HBdBHUjzcLd5xMFVsJpTUlL0tIuwdxYZT5x4rJs,vzrsUNMg17WFPmh73xZguPbn_cZzqnef3btvmn6-YDk,2825000000
0IJV6mQpTI0UULeclLC2_qRQQeE-cxqnbl4c3_uGoVc,l5wmMZJv6cXuJxlvjf6RkErudcWQfosBc7b5Gx7gCsU,1716250000
0KmQOP_PmZtWx60wNvzV4Yk7mscf43S74sdJ3dhZPV8,ciQ7RQ8QPPv3bGoMfN2SlYIr0n8ZDLZ7_aDW-hM9pLQ,435000000
0MgjK0SRbfTY80Eq_vbe4wgjFdDtWl3JSiBaZWLTlV8,ntwC3lnxNkMlmJX44_2sMGATfF4kjiRt2HpsOavB70M,11406250000
0NaIHKaUM1d-z1XTQrsciYWvfCT9cHt-AVekXCta8a0,TlZUBXVaCY5mvVX4IUjFR3FcMhkmnTAWikzuWlAc5_M,652500000
0NuXvG488wru5Q7Fw06eg6F8CTkK293NnDOt6SOrrPg,_oRyRg0Iq0FDnXZCwdMM2eFdcjytN0LDdVmQ-D8fju0,870000000
0OYP-y1lLxZbAJq8by878U9wZhLttxQhGhMt2yqqSes,gM2Onk-oukO6z84wQY0HANza-b0y4hSQwzOc9JSxn8o,1716250000
0R6aTzxfYNS-9K6s8F0aWZI7COyD2Gwbot6TYDtVYPY,arn_Hkv7mwX1HALJktsiaYg_bXc5aBeddicvVf6pla4,652500000
0WTTYyQhN5p-EwsX85aNpw-T2QN96xrCIzX-5l7T7P8,pi_PVyBCifSZfwKG1v2BZs3xOL9nVitgw9VK6b7HmJw,1525000000
